"id","Most important selection criteria - Criteria","Second most important selection criteria - Criteria","Third most important selection criteria - Criteria"
10131305406,"Cost/Price","Format (flower, vape, edibles, etc)","THC Content"
10131302646,"CBD Content","Quality","Cost/Price"
10131268897,"Format (flower, vape, edibles, etc)","Cost/Price","CBD Content"
10131247244,"THC Content","Quality","Favorite Strain"
10131242010,"Cost/Price","CBD Content","THC Content"
10131229054,"Cost/Price","Quality","Favorite Strain"
10131204933,"THC Content","CBD Content","Favorite Strain"
10131201970,"THC Content","Favorite Strain","Quality"
10131195330,"Quality","THC Content","CBD Content"
10131149670,"THC Content","CBD Content","THCa"
10130042878,"Cost/Price","Quality","THCa"
10129673001,"THC Content","Quality","Format (flower, vape, edibles, etc)"
10129581312,"THC Content","Format (flower, vape, edibles, etc)","Quality"
10129547446,"Other cannabinoids and terpenes","THC Content","CBD Content"
10129519603,"THC Content","THCa","Favorite Strain"
10129511356,"CBD Content","THC Content","Cost/Price"
10129486983,"THC Content","Cost/Price","Quality"
10129485910,"THC Content","Other cannabinoids and terpenes","Format (flower, vape, edibles, etc)"
10129433590,"THC Content","Quality","Cost/Price"
10129421681,"THC Content","CBD Content","Quality"
10129349932,"THC Content","Cost/Price","Format (flower, vape, edibles, etc)"
10129239299,"Other cannabinoids and terpenes","THC Content","CBD Content"
10129124458,"Cost/Price","Format (flower, vape, edibles, etc)","CBD Content"
10128930422,"Cost/Price","Quality","Format (flower, vape, edibles, etc)"
10128767761,"CBD Content","Cost/Price","THCa"
10128711809,"THC Content","Other cannabinoids and terpenes","Cost/Price"
10128374991,"CBD Content","THC Content","Cost/Price"
10128138430,"Format (flower, vape, edibles, etc)","Cost/Price","Quality"
10128137391,"Cost/Price","THC Content","Favorite Strain"
10128053039,"THC Content","Cost/Price","Quality"
10127960438,"Cost/Price","CBD Content","Format (flower, vape, edibles, etc)"
10127840609,"CBD Content","Cost/Price","Favorite Strain"
10127804909,"Cost/Price","Quality","CBD Content"
10127786477,"THC Content","CBD Content","Quality"
10127716333,"THC Content","Favorite Strain","Quality"
10127657862,"Quality","Quality",""
10127640903,"THC Content","CBD Content","Favorite Strain"
10127580348,"THC Content","Cost/Price","Quality"
10127518011,"Quality","CBD Content","Cost/Price"
10127496364,"THC Content","CBD Content","Cost/Price"
10127477117,"Cost/Price","Quality","Format (flower, vape, edibles, etc)"
10127406972,"THC Content","Cost/Price","Cost/Price"
10127393239,"Quality","Cost/Price","Other cannabinoids and terpenes"
10127389359,"Quality","Cost/Price","Format (flower, vape, edibles, etc)"
10127374019,"Quality","THC Content","CBD Content"
10127359614,"THC Content","Quality","Cost/Price"
10127356809,"Cost/Price","THC Content","Format (flower, vape, edibles, etc)"
10127331399,"Cost/Price","THC Content","THCa"
10127324019,"THC Content","Quality","Cost/Price"
10127273341,"THC Content","Quality","Favorite Strain"
10127257620,"THC Content","CBD Content","Quality"
10127256002,"Quality","THC Content","Cost/Price"
10127253546,"CBD Content","Cost/Price","Quality"
10127252065,"THC Content","CBD Content","Cost/Price"
10127236538,"THC Content","CBD Content","THCa"
10127228851,"Quality","THC Content","Format (flower, vape, edibles, etc)"
10127220039,"CBD Content","THC Content","THCa"
10127218064,"CBD Content","Quality","Other cannabinoids and terpenes"
10127205976,"THC Content","Favorite Strain","Cost/Price"
10127189561,"THC Content","CBD Content","Cost/Price"
10127174802,"Quality","Cost/Price","CBD Content"
10127173349,"CBD Content","THC Content","Cost/Price"
10127172243,"Format (flower, vape, edibles, etc)","CBD Content","THC Content"
10127171612,"THC Content","Other cannabinoids and terpenes","CBD Content"
10127156848,"Favorite Strain","THC Content","THCa"
10125815925,"THC Content","CBD Content","Other cannabinoids and terpenes"
10125705542,"CBD Content","Other cannabinoids and terpenes","THC Content"
10125676815,"CBD Content","THC Content","Cost/Price"
10125280005,"Favorite Strain","Cost/Price","Format (flower, vape, edibles, etc)"
10125221446,"Quality","Cost/Price","Format (flower, vape, edibles, etc)"
10124490178,"Other cannabinoids and terpenes","CBD Content","CBDa"
10124476250,"Other cannabinoids and terpenes","THC Content","CBD Content"
10124369637,"THC Content","Favorite Strain","Quality"
10124355946,"THC Content","Quality","Cost/Price"
10124286376,"CBDa","THC Content","CBD Content"
10123609822,"CBD Content","THC Content","Other cannabinoids and terpenes"
10123570987,"THC Content","CBD Content","Other cannabinoids and terpenes"
10123305896,"THCa","THC Content","CBD Content"
10122896731,"Quality","Format (flower, vape, edibles, etc)","THC Content"
10121182078,"Quality","Format (flower, vape, edibles, etc)","CBD Content"
10120946731,"Favorite Strain","CBDa","Other cannabinoids and terpenes"
10120655061,"THC Content","CBD Content","Quality"
10120576348,"THC Content","CBD Content","Format (flower, vape, edibles, etc)"
10120474217,"Favorite Strain","Format (flower, vape, edibles, etc)","Cost/Price"
10120114398,"CBD Content","THC Content","Format (flower, vape, edibles, etc)"
10120088047,"Cost/Price","Favorite Strain","THC Content"
10118791641,"CBD Content","Quality","Favorite Strain"
10117867617,"Quality","CBD Content","Cost/Price"
10117478255,"CBD Content","THCa","Other cannabinoids and terpenes"
10116561460,"CBD Content","Cost/Price","Favorite Strain"
10114997094,"THC Content","Quality","Cost/Price"
10113996687,"THC Content","Cost/Price","THC Content"
10113930337,"THC Content","",""
10113867776,"THC Content","Quality","Format (flower, vape, edibles, etc)"
10113828646,"CBD Content","Cost/Price","Other cannabinoids and terpenes"
10113725108,"Cost/Price","THC Content","Quality"
10113458375,"Quality","THC Content","Cost/Price"
10113325824,"Favorite Strain","Format (flower, vape, edibles, etc)","Quality"
10113273807,"Favorite Strain","Quality","Cost/Price"
10113129257,"Favorite Strain","Quality","Cost/Price"
10113110847,"THC Content","CBD Content","Cost/Price"
10113045616,"Quality","Format (flower, vape, edibles, etc)","THC Content"
10113042932,"THC Content","Cost/Price","Other cannabinoids and terpenes"
10113027515,"Format (flower, vape, edibles, etc)","Favorite Strain","Quality"
10112212744,"THC Content","CBD Content","Other cannabinoids and terpenes"
10110366322,"Quality","Format (flower, vape, edibles, etc)","Cost/Price"
10107266347,"THC Content","CBD Content","Other cannabinoids and terpenes"
10106336935,"Cost/Price","CBD Content","Format (flower, vape, edibles, etc)"
