"id","Most important selection criteria - Criteria","Second most important selection criteria - Criteria","Third most important selection criteria - Criteria"
10230141136,"THC Content","Quality","Cost/Price"
10229888050,"Quality","THC Content","Format (flower, vape, edibles, etc)"
10229864938,"THC Content","CBD Content","Cost/Price"
10229729020,"CBD Content","THC Content","Format (flower, vape, edibles, etc)"
10229610141,"CBD Content","Other cannabinoids and terpenes","THC Content"
10229491086,"Favorite Strain","Quality","Cost/Price"
10194494769,"THC Content","CBD Content","Quality"
10176279610,"Quality","THC Content","CBD Content"
10166704081,"Quality","THC Content","CBD Content"
10166676707,"Favorite Strain","THC Content","Quality"
10144481063,"THC Content","Cost/Price","Format (flower, vape, edibles, etc)"
10139061871,"Format (flower, vape, edibles, etc)","THC Content","CBD Content"
10131613868,"THC Content","Cost/Price","Quality"
10131328156,"THC Content","Quality","Cost/Price"
10131242201,"THC Content","Quality","Cost/Price"
10131213551,"Cost/Price","Quality","Favorite Strain"
10129685307,"Quality","Quality","Quality"
10128767761,"CBD Content","Cost/Price","THCa"
10127374223,"THC Content","Quality","Cost/Price"
10616891358,"Quality","THC Content","Other cannabinoids and terpenes"
10464834197,"THC Content","Quality","Format (flower, vape, edibles, etc)"
10239634868,"CBD Content","Quality","Cost/Price"
10237618095,"THC Content","Favorite Strain","Cost/Price"
10235780578,"THC Content","Format (flower, vape, edibles, etc)","CBD Content"
10234061188,"CBD Content","Cost/Price","THC Content"
10231640334,"CBD Content","THC Content","Other cannabinoids and terpenes"
10230571912,"CBD Content","THC Content","Other cannabinoids and terpenes"
10230376575,"Other cannabinoids and terpenes","THC Content","Quality"
10229755208,"CBD Content","THC Content","Quality"
10229591098,"CBD Content","CBD Content","THC Content"
10229561917,"CBD Content","THC Content","Cost/Price"
10229453603,"Format (flower, vape, edibles, etc)","THC Content","Quality"
10229400598,"CBD Content","THC Content","Other cannabinoids and terpenes"
10211274731,"THC Content","Quality","Cost/Price"
10168172790,"THC Content","Other cannabinoids and terpenes","Cost/Price"
10163300389,"Favorite Strain","THC Content","CBD Content"
10143929046,"Favorite Strain","THC Content","Other cannabinoids and terpenes"
10142603713,"CBD Content","Quality","Format (flower, vape, edibles, etc)"
10127253546,"CBD Content","Cost/Price","Quality"
10127186413,"Format (flower, vape, edibles, etc)","THC Content","Cost/Price"
10253887260,"THC Content","CBD Content","Cost/Price"
10234127592,"Favorite Strain","CBD Content","Other cannabinoids and terpenes"
10230410378,"CBD Content","Quality","Cost/Price"
10230050316,"THC Content","CBD Content",""
10229641829,"THC Content","CBD Content","Quality"
10229605942,"Other cannabinoids and terpenes","THC Content","Favorite Strain"
10229526159,"THCa","CBDa","Other cannabinoids and terpenes"
10229502714,"Format (flower, vape, edibles, etc)","Quality","Cost/Price"
10229472013,"THC Content","CBD Content","Other cannabinoids and terpenes"
10229432345,"Quality","Cost/Price",""
10196676245,"THC Content","Quality","Format (flower, vape, edibles, etc)"
10178863429,"Quality","THC Content","Cost/Price"
10171530553,"THC Content","Cost/Price","Favorite Strain"
10167632552,"CBD Content","CBD Content","Quality"
10163295631,"THC Content","Cost/Price","Quality"
10146235500,"THC Content","Other cannabinoids and terpenes","Quality"
10132796279,"THC Content","Favorite Strain","Quality"
10129485910,"THC Content","Other cannabinoids and terpenes","Format (flower, vape, edibles, etc)"
10128771503,"Favorite Strain","Quality","Cost/Price"
10127999637,"CBD Content","THC Content","Quality"
10127359614,"THC Content","Quality","Cost/Price"
10113996687,"THC Content","Cost/Price","THC Content"
10113110847,"THC Content","CBD Content","Cost/Price"
10233142044,"Other cannabinoids and terpenes","Cost/Price","Quality"
10231064348,"CBD Content","Quality","Format (flower, vape, edibles, etc)"
10230754508,"Quality","CBD Content","Cost/Price"
10230141012,"CBD Content","Other cannabinoids and terpenes","Quality"
10229595919,"THC Content","CBD Content","Format (flower, vape, edibles, etc)"
10229467101,"CBD Content","Cost/Price","Quality"
10229389083,"Quality","Favorite Strain","Cost/Price"
10229354740,"CBD Content","THC Content","Format (flower, vape, edibles, etc)"
