"response","count","percent_responded"
"sunset sherbet",1,0.08
"sunset shertbert",1,0.08
"super lemon haze",1,0.08
"Super lemon haze",1,0.08
"Super silver haze",1,0.08
"Super Silver Haze",1,0.08
"Swamp thing",1,0.08
"Swamp Thing",1,0.08
"Swamp Thing #7",1,0.08
"Sweat tooth",1,0.08
"Sweet black angel",1,0.08
"Sweet Island",1,0.08
"Sweet Pink Grapefruit",1,0.08
"Sweet Tooth ",1,0.08
"Sweettooth",1,0.08
"Tahoe kush",1,0.08
"Tahoe OG",1,0.08
"Tang tang Afghani",1,0.08
"Tang Tang Afghani",1,0.08
"Tang Tang Kunduz",1,0.08
"Tang Tang x Afghani",1,0.08
"Tangerine",1,0.08
"Tangerine dreams ",1,0.08
"Tangerine haze",1,0.08
"Tangerine Kush",1,0.08
"Tangle ",1,0.08
"Tardis #9",1,0.08
"tcp",1,0.08
"Thai landrace",1,0.08
"THC",1,0.08
"THC 5 mg gummies",1,0.08
"the",1,0.08
"The Remedy (CBD)",1,0.08
"They are all nasty",1,0.08
"Thunderstruck",1,0.08
"toast Gold",1,0.08
"Touchstone Essentials CBD/Hemp Oil",1,0.08
"Train wreck",1,0.08
"trainwreck",1,0.08
"Transdermal patch",1,0.08
"tri wifi",1,0.08
"Tropicanna",1,0.08
"Un named hybrid cookies",1,0.08
"unk",1,0.08
"unsure",1,0.08
"using tinctures",1,0.08
"Vanilla kush",1,0.08
"Walker kush",1,0.08
"Wappa",1,0.08
"Wedding cake",1,0.08
"Wedding Cake",1,0.08
"Wedding cake ",1,0.08
"Wedding Cake ",1,0.08
"Whatever's available",1,0.08
"whatever I can get",1,0.08
"Whatever is available",1,0.08
"White Fire Alien",1,0.08
"white fire OG ",1,0.08
"White harmony ",1,0.08
"White Knuckles",1,0.08
"White rhino",1,0.08
"White Rhino×Bubba",1,0.08
"White widow",1,0.08
"White Widow ",1,0.08
"White Widow Auto",1,0.08
"White Widow Skunk",1,0.08
"Wonder woman",1,0.08
"Yeager",1,0.08
"ZSkittles",1,0.08
