"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","Tinctures","Salves/topicals","Transdermal patches","Suppositories","Capsules","Other (please specify)"
10229310948,"","","","5 mg or less","","","","51 - 100 mg","","",""
10229304627,"","","","5 mg or less","","","","","","",""
10229298270,"","","","","","","","","","",""
10192604228,"","","","51 - 100 mg","","","","","","",""
10192498772,"","","","","","","","","","",""
10178566386,"","","","5 mg or less","","","","","","",""
10176321017,"","","","5 mg or less","","","","6-25 mg","","",""
10171522285,"","","","5 mg or less","","","","","","",""
10168553663,"","","","51 - 100 mg","","","","","","",""
10166497491,"","","","","","","","","","",""
10166086781,"","","","101 - 200 mg","","","","","","",""
10141275570,"","","","501 - 1000 mg","","","","","","",""
10138241574,"","","","","","","","","","",""
10137894296,"","","","","","","","","","",""
10131582698,"","","","6-25 mg","","","","","","",""
10129511356,"","","","","","","","","","",""
10127580348,"","","","","","","","","","",""
10127456257,"","","","5 mg or less","","","","","","",""
10114267357,"","","","","","","","","","",""
10618093668,"","","","101 - 200 mg","","","","","","",""
10351985976,"","","","","","","","5 mg or less","","",""
10307731360,"","","","51 - 100 mg","","","","","","",""
10232322099,"","","","","","","","","","",""
10231949944,"","","","","","","","","","",""
10230596390,"","","","","","","","","","",""
10230225971,"","","","","","","","","","",""
10230198078,"","","","6-25 mg","","","","","","",""
10229779148,"","","","5 mg or less","","","","","","",""
10229765765,"","","","","","","","","","501 - 1000 mg",""
10229649053,"","","","","","","","6-25 mg","","",""
10229605070,"","","","51 - 100 mg","","","","","","",""
10229554391,"","","","","","","","","","26 - 50 mg",""
10229538834,"","","","6-25 mg","","","","5 mg or less","","",""
10229397458,"","","","","","","","","","",""
10176705221,"","","","","","","","","","",""
10168169939,"","","","6-25 mg","","","","","","",""
10154976508,"","","","501 - 1000 mg","","","","6-25 mg","","201 - 500 mg",""
